"","year","FMB","MMB","MMB_95","MMB_101","abund_101","FMB_tot","MMB_tot","MMB_95_tot","MMB_101_tot","abund_101_tot"
"1",1982,71.36,111.8,93.66,68.9,127.71,132.39,233.86,137.8,94.11,123
"2",1983,54.57,167.01,123.92,95.56,167.02,104.61,340.56,177.91,126.1,170.53
"3",1984,42.38,213.54,160.06,127.55,211.12,91.17,419.38,224.82,164.25,220.96
"4",1985,35.58,227.77,167.09,134.74,216.58,122.63,441.16,232.44,171.4,228.77
"5",1986,40.68,222.34,147.98,119.19,189.55,237.53,438.59,205.72,150.96,200.64
"6",1987,74.25,223.5,127.36,98.3,157.84,313.03,456.89,181.15,125.19,164.12
"7",1988,123.4,243.32,130.86,99.11,160.88,363.61,503.44,188.16,126.55,166.75
"8",1989,187.9,282.39,143.29,108.48,175.05,341.12,509.85,205.96,138.15,181.76
"9",1990,180.89,292.55,154.07,117.46,190.54,310.65,514.81,220.96,149.53,199.49
"10",1991,155.48,296.18,170.08,140.83,215.9,264.82,483.99,231.99,174.61,236.2
"11",1992,132.57,265.14,146.31,118.4,181.12,232.72,447.13,202.04,147.09,195.83
"12",1993,114.68,198.77,89.64,64.5,103.79,207.81,380.79,131.98,82.02,107.06
"13",1994,102.84,153.42,49.67,32.16,52.66,195.44,334.26,76.59,41.23,52.84
"14",1995,95.9,169.09,52.4,32.68,54.72,178.54,371.58,82.1,42.39,53.69
"15",1996,90.02,207.85,84.21,56.66,95.11,158.15,416.23,128.21,73.36,95.43
"16",1997,80.26,227.95,116.45,89.6,142.9,158.74,404.18,166.07,113.05,152.06
"17",1998,75.21,205.29,111.3,88.91,137.2,134.83,348.87,155.03,110.8,147.97
"18",1999,70.79,118.9,50.24,35.29,56.01,127.03,233.16,74.69,44.57,58.03
"19",2000,62.18,96.32,40.41,28.33,44.51,113.53,189.49,60.1,35.78,45.88
"20",2001,56.49,77.94,31.04,21.19,33.95,98.64,157.17,46.78,26.95,34.67
"21",2002,49.98,66.83,24.8,16,26.53,85.48,138.8,38.35,20.68,26.33
"22",2003,42.68,71.21,31.01,22.44,36.6,171.41,138.61,45.67,28.58,38.23
"23",2004,65.93,87.23,42.53,33.06,51.51,171.92,159.39,60.17,41.44,54.87
"24",2005,96.49,94.99,45.4,36.27,55.35,175.49,176.35,63.15,45.13,59.46
"25",2006,92.6,102.98,43.11,32.92,51.06,155.84,205.08,61.51,41.35,53.62
"26",2007,78.5,123.36,52.66,40,64.27,126.06,243.22,75.63,50.82,67.23
"27",2008,63.65,136.86,61.2,47.49,74.87,103.81,262.59,86.73,59.81,79.08
"28",2009,50.94,128.87,58.81,46.14,72.57,194.83,245.21,82.87,58.04,77.03
"29",2010,75.06,181.25,102.37,83.91,129.49,196.09,302.65,140.6,104.68,139.68
"30",2011,109.12,141.4,75.01,59.91,93,202.38,247.22,104.54,75.05,99.13
"31",2012,106.24,108.75,47.75,35.12,56.1,185.17,211.74,69.55,44.63,57.68
"32",2013,92.76,101.01,40.48,27.17,45.28,171.67,204.88,61.59,35.15,44.86
"33",2014,83.31,91.25,37.37,25.65,41.84,146.74,183.22,56.25,32.86,42.2
"34",2015,74.99,74.98,27.32,18.42,30.03,150.26,157.21,41.45,23.54,30.55
"35",2016,70.59,64.21,17.64,11.1,18.38,185.43,150.03,27.55,14.25,18.53
"36",2017,84.56,96.02,21.49,13.41,22.51,291.77,240.07,33.67,17.4,22.17
"37",2018,129.7,163.09,15.61,9.42,16.32,217.57,204.91,24.82,12.4,15.66
"38",2019,112.39,141.76,39.6,23.74,42.33,129.86,289.11,63.2,31.69,39.72
"39",2020,45.41,72.12,24.72,13.39,24.09,88.49,209.92,40.77,18.01,21.64
"40",2021,40.46,58.2,19.19,11.17,18.82,83.5,168.21,30.81,14.53,18.08
"41",2022,41.78,49.78,16.22,10.02,16.47,83.22,134.81,25.46,12.88,16.23
"42",2023,49.73,56.68,13.64,8.79,14.11,106.16,116.6,21.03,11.21,14.11
"43",2024,60.53,86.93,13.43,8.48,13.94,118.98,140.12,20.92,10.93,13.76
